Residence,Region,Sub-Region,Total,Period
"Korea,Republic of",Asia,,49583,2014-02
India,Asia,,2144,2014-02
Middle East,Asia,,1079,2014-02
Malaysia,Asia,Southeast Asia,38263,2014-02
Singapore,Asia,Southeast Asia,21293,2014-02
Indonesia,Asia,Southeast Asia,14280,2014-02
Philippines,Asia,Southeast Asia,9775,2014-02
Japan,Asia,,136654,2014-02
Vietnam,Asia,Southeast Asia,13736,2014-02
"Others, Southeast Asia",Asia,Southeast Asia,747,2014-02
"Others, Asia",Asia,,857,2014-02
Canada,America,,6200,2014-02
United States of America,America,,29960,2014-02
Mexico,America,,140,2014-02
Brazil,America,,279,2014-02
Thailand,Asia,Southeast Asia,7674,2014-02
Argentina,America,,86,2014-03
Brazil,America,,477,2014-03
Mexico,America,,281,2014-03
United States of America,America,,38615,2014-03
"Others, Asia",Asia,,729,2014-03
"Korea,Republic of",Asia,,43509,2014-03
"Others, Southeast Asia",Asia,Southeast Asia,949,2014-03
Indonesia,Asia,Southeast Asia,14129,2014-03
Thailand,Asia,Southeast Asia,9629,2014-03
Philippines,Asia,Southeast Asia,10638,2014-03
Singapore,Asia,Southeast Asia,34674,2014-03
Malaysia,Asia,Southeast Asia,45842,2014-03
Middle East,Asia,,1570,2014-03
India,Asia,,2367,2014-03
"Others, America",America,,756,2014-03
Vietnam,Asia,Southeast Asia,12605,2014-03
Belgium,Europe,,491,2014-03
Greece,Europe,,184,2014-03
Germany,Europe,,5151,2014-03
Japan,Asia,,163458,2014-03
Unstated,,,131,2014-03
"Others, Africa",Africa,,522,2014-03
S. Africa,Africa,,389,2014-03
"Others, Oceania",Oceania,,131,2014-03
New Zealand,Oceania,,971,2014-03
Australia,Oceania,,5922,2014-03
France,Europe,,3107,2014-03
"Others, Europe",Europe,,3551,2014-03
Sweden,Europe,,725,2014-03
Austria,Europe,,569,2014-03
United Kingdom,Europe,,4957,2014-03
Spain,Europe,,782,2014-03
Switzerland,Europe,,787,2014-03
Netherlands,Europe,,1702,2014-03
Italy,Europe,,1545,2014-03
Russian Federation,Europe,,748,2014-03
Mainland China,Asia,,361470,2014-03
Canada,America,,7917,2014-03
HongKong. Macao,Asia,,98332,2014-03
Vietnam,Asia,Southeast Asia,12698,2014-04
Germany,Europe,,4826,2014-04
Italy,Europe,,1180,2014-04
Netherlands,Europe,,1637,2014-04
Switzerland,Europe,,852,2014-04
Spain,Europe,,715,2014-04
United Kingdom,Europe,,5963,2014-04
Austria,Europe,,509,2014-04
Greece,Europe,,94,2014-04
Sweden,Europe,,755,2014-04
Russian Federation,Europe,,805,2014-04
"Others, Europe",Europe,,3254,2014-04
Australia,Oceania,,9351,2014-04
New Zealand,Oceania,,1246,2014-04
"Others, Oceania",Oceania,,132,2014-04
France,Europe,,3303,2014-04
Belgium,Europe,,539,2014-04
"Others, America",America,,900,2014-04
Argentina,America,,105,2014-04
"Korea,Republic of",Asia,,37875,2014-04
India,Asia,,2307,2014-04
Middle East,Asia,,1703,2014-04
Malaysia,Asia,Southeast Asia,39192,2014-04
Singapore,Asia,Southeast Asia,30630,2014-04
Indonesia,Asia,Southeast Asia,13645,2014-04
"Others, Africa",Africa,,615,2014-04
Philippines,Asia,Southeast Asia,13458,2014-04
"Others, Southeast Asia",Asia,Southeast Asia,1119,2014-04
"Others, Asia",Asia,,626,2014-04
Canada,America,,7892,2014-04
United States of America,America,,41013,2014-04
Mexico,America,,499,2014-04
Brazil,America,,526,2014-04
Thailand,Asia,Southeast Asia,11587,2014-04
Unstated,,,108,2014-04
S. Africa,Africa,,352,2014-04
Japan,Asia,,116570,2014-04
Mainland China,Asia,,377197,2014-04
HongKong. Macao,Asia,,146097,2014-04
Australia,Oceania,,5274,2014-05
New Zealand,Oceania,,1004,2014-05
United States of America,America,,38328,2014-05
S. Africa,Africa,,259,2014-05
"Others, Africa",Africa,,405,2014-05
Unstated,,,261,2014-05
HongKong. Macao,Asia,,116585,2014-05
Mainland China,Asia,,333845,2014-05
Japan,Asia,,133438,2014-05
"Korea,Republic of",Asia,,38616,2014-05
India,Asia,,2517,2014-05
Middle East,Asia,,1443,2014-05
Malaysia,Asia,Southeast Asia,36537,2014-05
Singapore,Asia,Southeast Asia,30941,2014-05
Indonesia,Asia,Southeast Asia,14579,2014-05
"Others, Europe",Europe,,2769,2014-05
Russian Federation,Europe,,616,2014-05
Canada,America,,7343,2014-05
Greece,Europe,,112,2014-05
"Others, Asia",Asia,,584,2014-05
"Others, Southeast Asia",Asia,Southeast Asia,838,2014-05
Vietnam,Asia,Southeast Asia,11108,2014-05
Thailand,Asia,Southeast Asia,8766,2014-05
Mexico,America,,196,2014-05
Brazil,America,,329,2014-05
Philippines,Asia,Southeast Asia,13873,2014-05
Argentina,America,,68,2014-05
"Others, America",America,,598,2014-05
Sweden,Europe,,675,2014-05
Belgium,Europe,,370,2014-05
"Others, Oceania",Oceania,,105,2014-05
Austria,Europe,,528,2014-05
United Kingdom,Europe,,4484,2014-05
Spain,Europe,,594,2014-05
Switzerland,Europe,,632,2014-05
Netherlands,Europe,,1318,2014-05
Italy,Europe,,1312,2014-05
Germany,Europe,,3783,2014-05
France,Europe,,2702,2014-05
Indonesia,Asia,Southeast Asia,17666,2014-06
Vietnam,Asia,Southeast Asia,13085,2014-06
Japan,Asia,,119697,2014-06
"Korea,Republic of",Asia,,33830,2014-06
India,Asia,,3415,2014-06
Middle East,Asia,,1931,2014-06
Philippines,Asia,Southeast Asia,12403,2014-06
Singapore,Asia,Southeast Asia,34808,2014-06
Thailand,Asia,Southeast Asia,8556,2014-06
Malaysia,Asia,Southeast Asia,31066,2014-06
Unstated,,,830,2014-06
Mainland China,Asia,,315166,2014-06
HongKong. Macao,Asia,,133550,2014-06
Greece,Europe,,140,2014-06
Sweden,Europe,,739,2014-06
Austria,Europe,,389,2014-06
United Kingdom,Europe,,4208,2014-06
Switzerland,Europe,,626,2014-06
Netherlands,Europe,,1355,2014-06
Italy,Europe,,1233,2014-06
Germany,Europe,,3377,2014-06
France,Europe,,3039,2014-06
Belgium,Europe,,450,2014-06
"Others, America",America,,680,2014-06
Argentina,America,,93,2014-06
Spain,Europe,,759,2014-06
Mexico,America,,281,2014-06
Brazil,America,,321,2014-06
S. Africa,Africa,,309,2014-06
"Others, Oceania",Oceania,,90,2014-06
"Others, Africa",Africa,,533,2014-06
Australia,Oceania,,5241,2014-06
New Zealand,Oceania,,853,2014-06
Russian Federation,Europe,,875,2014-06
"Others, Southeast Asia",Asia,Southeast Asia,892,2014-06
"Others, Asia",Asia,,778,2014-06
Canada,America,,5791,2014-06
United States of America,America,,43737,2014-06
"Others, Europe",Europe,,3171,2014-06
Mexico,America,,225,2014-07
United States of America,America,,38345,2014-07
Canada,America,,7025,2014-07
"Others, Asia",Asia,,532,2014-07
Vietnam,Asia,Southeast Asia,11765,2014-07
Thailand,Asia,Southeast Asia,7144,2014-07
Philippines,Asia,Southeast Asia,10420,2014-07
"Korea,Republic of",Asia,,36886,2014-07
Singapore,Asia,Southeast Asia,20868,2014-07
Malaysia,Asia,Southeast Asia,26043,2014-07
Middle East,Asia,,1017,2014-07
India,Asia,,2119,2014-07
Japan,Asia,,117564,2014-07
Mainland China,Asia,,343709,2014-07
HongKong. Macao,Asia,,132831,2014-07
Brazil,America,,233,2014-07
Indonesia,Asia,Southeast Asia,19901,2014-07
Argentina,America,,60,2014-07
"Others, Southeast Asia",Asia,Southeast Asia,833,2014-07
Belgium,Europe,,539,2014-07
"Others, Africa",Africa,,314,2014-07
Unstated,,,3077,2014-07
"Others, America",America,,638,2014-07
"Others, Oceania",Oceania,,112,2014-07
New Zealand,Oceania,,1055,2014-07
Australia,Oceania,,4786,2014-07
"Others, Europe",Europe,,3128,2014-07
S. Africa,Africa,,355,2014-07
Sweden,Europe,,568,2014-07
Greece,Europe,,108,2014-07
Russian Federation,Europe,,598,2014-07
United Kingdom,Europe,,4512,2014-07
Spain,Europe,,693,2014-07
Switzerland,Europe,,715,2014-07
Netherlands,Europe,,1527,2014-07
Italy,Europe,,1153,2014-07
Germany,Europe,,3534,2014-07
France,Europe,,3288,2014-07
Austria,Europe,,481,2014-07
Malaysia,Asia,Southeast Asia,20194,2014-08
Singapore,Asia,Southeast Asia,18154,2014-08
Middle East,Asia,,1532,2014-08
India,Asia,,3277,2014-08
"Korea,Republic of",Asia,,43865,2014-08
Japan,Asia,,148531,2014-08
Mainland China,Asia,,312549,2014-08
New Zealand,Oceania,,755,2014-08
Unstated,,,187,2014-08
"Others, Africa",Africa,,537,2014-08
S. Africa,Africa,,558,2014-08
"Others, Oceania",Oceania,,219,2014-08
Indonesia,Asia,Southeast Asia,14602,2014-08
Australia,Oceania,,4226,2014-08
"Others, Europe",Europe,,3373,2014-08
HongKong. Macao,Asia,,147903,2014-08
Philippines,Asia,Southeast Asia,11340,2014-08
Brazil,America,,350,2014-08
Vietnam,Asia,Southeast Asia,12136,2014-08
Sweden,Europe,,525,2014-08
Greece,Europe,,106,2014-08
Austria,Europe,,423,2014-08
United Kingdom,Europe,,4454,2014-08
Spain,Europe,,755,2014-08
Switzerland,Europe,,614,2014-08
Netherlands,Europe,,1323,2014-08
Italy,Europe,,1039,2014-08
Thailand,Asia,Southeast Asia,7599,2014-08
Germany,Europe,,4180,2014-08
Belgium,Europe,,368,2014-08
"Others, America",America,,894,2014-08
Argentina,America,,53,2014-08
Mexico,America,,259,2014-08
United States of America,America,,33856,2014-08
Canada,America,,6608,2014-08
"Others, Asia",Asia,,891,2014-08
"Others, Southeast Asia",Asia,Southeast Asia,649,2014-08
France,Europe,,2977,2014-08
Russian Federation,Europe,,655,2014-08
Unstated,,,113,2014-09
Greece,Europe,,144,2014-09
Belgium,Europe,,412,2014-09
"Others, America",America,,1177,2014-09
Argentina,America,,117,2014-09
Brazil,America,,313,2014-09
Mexico,America,,400,2014-09
United States of America,America,,32079,2014-09
Canada,America,,6153,2014-09
"Others, Asia",Asia,,1084,2014-09
"Others, Southeast Asia",Asia,Southeast Asia,1000,2014-09
Vietnam,Asia,Southeast Asia,12017,2014-09
Thailand,Asia,Southeast Asia,7944,2014-09
Philippines,Asia,Southeast Asia,11061,2014-09
Sweden,Europe,,647,2014-09
France,Europe,,2749,2014-09
Russian Federation,Europe,,683,2014-09
Indonesia,Asia,Southeast Asia,14952,2014-09
Australia,Oceania,,6432,2014-09
New Zealand,Oceania,,995,2014-09
"Others, Oceania",Oceania,,122,2014-09
S. Africa,Africa,,330,2014-09
"Others, Africa",Africa,,771,2014-09
Singapore,Asia,Southeast Asia,23919,2014-09
Malaysia,Asia,Southeast Asia,36969,2014-09
Middle East,Asia,,1486,2014-09
Austria,Europe,,420,2014-09
India,Asia,,3451,2014-09
"Korea,Republic of",Asia,,37632,2014-09
Japan,Asia,,140574,2014-09
"Others, Europe",Europe,,2983,2014-09
Mainland China,Asia,,341729,2014-09
HongKong. Macao,Asia,,105865,2014-09
United Kingdom,Europe,,4572,2014-09
Spain,Europe,,652,2014-09
Switzerland,Europe,,702,2014-09
Netherlands,Europe,,1347,2014-09
Italy,Europe,,1264,2014-09
Germany,Europe,,4302,2014-09
Switzerland,Europe,,1042,2014-10
"Others, Southeast Asia",Asia,Southeast Asia,1323,2014-10
Vietnam,Asia,Southeast Asia,10614,2014-10
Thailand,Asia,Southeast Asia,9471,2014-10
Philippines,Asia,Southeast Asia,11519,2014-10
Indonesia,Asia,Southeast Asia,14201,2014-10
Singapore,Asia,Southeast Asia,34510,2014-10
"Korea,Republic of",Asia,,47984,2014-10
Middle East,Asia,,1634,2014-10
India,Asia,,2199,2014-10
"Others, Asia",Asia,,768,2014-10
Japan,Asia,,141713,2014-10
Mainland China,Asia,,347778,2014-10
HongKong. Macao,Asia,,95217,2014-10
Malaysia,Asia,Southeast Asia,38458,2014-10
Netherlands,Europe,,1820,2014-10
Canada,America,,8860,2014-10
Mexico,America,,301,2014-10
Spain,Europe,,798,2014-10
United Kingdom,Europe,,6574,2014-10
Austria,Europe,,601,2014-10
Greece,Europe,,127,2014-10
Sweden,Europe,,774,2014-10
Italy,Europe,,1343,2014-10
"Others, Europe",Europe,,3865,2014-10
Australia,Oceania,,7537,2014-10
New Zealand,Oceania,,1106,2014-10
United States of America,America,,41401,2014-10
"Others, Oceania",Oceania,,178,2014-10
"Others, Africa",Africa,,427,2014-10
Unstated,,,197,2014-10
Germany,Europe,,5454,2014-10
France,Europe,,3438,2014-10
Belgium,Europe,,480,2014-10
"Others, America",America,,916,2014-10
Argentina,America,,192,2014-10
Brazil,America,,541,2014-10
S. Africa,Africa,,346,2014-10
Russian Federation,Europe,,920,2014-10
Mainland China,Asia,,332517,2014-11
HongKong. Macao,Asia,,99443,2014-11
"Others, Africa",Africa,,394,2014-11
Italy,Europe,,1730,2014-11
Germany,Europe,,5506,2014-11
France,Europe,,3316,2014-11
Belgium,Europe,,600,2014-11
"Others, America",America,,704,2014-11
Argentina,America,,66,2014-11
Brazil,America,,293,2014-11
Mexico,America,,272,2014-11
United States of America,America,,41224,2014-11
Canada,America,,9310,2014-11
Netherlands,Europe,,1826,2014-11
"Others, Asia",Asia,,737,2014-11
Vietnam,Asia,Southeast Asia,9957,2014-11
Thailand,Asia,Southeast Asia,8597,2014-11
Philippines,Asia,Southeast Asia,10368,2014-11
Indonesia,Asia,Southeast Asia,13015,2014-11
Singapore,Asia,Southeast Asia,45854,2014-11
Malaysia,Asia,Southeast Asia,46516,2014-11
Middle East,Asia,,1589,2014-11
India,Asia,,2680,2014-11
"Korea,Republic of",Asia,,48248,2014-11
Japan,Asia,,152171,2014-11
"Others, Southeast Asia",Asia,Southeast Asia,925,2014-11
Unstated,,,216,2014-11
New Zealand,Oceania,,1054,2014-11
United Kingdom,Europe,,5267,2014-11
S. Africa,Africa,,294,2014-11
"Others, Oceania",Oceania,,124,2014-11
Australia,Oceania,,6278,2014-11
"Others, Europe",Europe,,3600,2014-11
Russian Federation,Europe,,954,2014-11
Sweden,Europe,,799,2014-11
Greece,Europe,,131,2014-11
Austria,Europe,,664,2014-11
Spain,Europe,,825,2014-11
Switzerland,Europe,,943,2014-11
Middle East,Asia,,1301,2014-12
India,Asia,,1974,2014-12
"Korea,Republic of",Asia,,50255,2014-12
Canada,America,,8587,2014-12
Mainland China,Asia,,346941,2014-12
HongKong. Macao,Asia,,135024,2014-12
Malaysia,Asia,Southeast Asia,58883,2014-12
Japan,Asia,,151119,2014-12
Singapore,Asia,Southeast Asia,60552,2014-12
Indonesia,Asia,Southeast Asia,19475,2014-12
Philippines,Asia,Southeast Asia,12811,2014-12
United States of America,America,,45330,2014-12
Mexico,America,,164,2014-12
Brazil,America,,401,2014-12
Argentina,America,,117,2014-12
"Others, America",America,,456,2014-12
"Others, Southeast Asia",Asia,Southeast Asia,1152,2014-12
France,Europe,,2864,2014-12
"Others, Asia",Asia,,717,2014-12
Germany,Europe,,4147,2014-12
Netherlands,Europe,,1535,2014-12
Switzerland,Europe,,607,2014-12
Spain,Europe,,661,2014-12
United Kingdom,Europe,,4084,2014-12
Austria,Europe,,474,2014-12
Vietnam,Asia,Southeast Asia,10607,2014-12
Thailand,Asia,Southeast Asia,11999,2014-12
Italy,Europe,,1093,2014-12
Belgium,Europe,,405,2014-12
Russian Federation,Europe,,554,2014-12
Australia,Oceania,,10260,2014-12
Unstated,,,1395,2014-12
"Others, Africa",Africa,,338,2014-12
S. Africa,Africa,,471,2014-12
"Others, Oceania",Oceania,,134,2014-12
New Zealand,Oceania,,1697,2014-12
Sweden,Europe,,698,2014-12
"Others, Europe",Europe,,3046,2014-12
Greece,Europe,,79,2014-12
Japan,Asia,,121510,2015-01
Middle East,Asia,,1269,2015-01
Malaysia,Asia,Southeast Asia,22157,2015-01
Singapore,Asia,Southeast Asia,23942,2015-01
Indonesia,Asia,Southeast Asia,12476,2015-01
Austria,Europe,,428,2015-01
India,Asia,,1866,2015-01
"Korea,Republic of",Asia,,75201,2015-01
Greece,Europe,,125,2015-01
HongKong. Macao,Asia,,74302,2015-01
"Others, Europe",Europe,,2560,2015-01
Australia,Oceania,,7197,2015-01
Mainland China,Asia,,321458,2015-01
United Kingdom,Europe,,3811,2015-01
New Zealand,Oceania,,1208,2015-01
"Others, Oceania",Oceania,,104,2015-01
S. Africa,Africa,,283,2015-01
"Others, Africa",Africa,,248,2015-01
Unstated,,,3102,2015-01
Sweden,Europe,,621,2015-01
Spain,Europe,,581,2015-01
Russian Federation,Europe,,463,2015-01
Netherlands,Europe,,1448,2015-01
Switzerland,Europe,,589,2015-01
Philippines,Asia,Southeast Asia,10525,2015-01
Thailand,Asia,Southeast Asia,7227,2015-01
Vietnam,Asia,Southeast Asia,8560,2015-01
"Others, Southeast Asia",Asia,Southeast Asia,682,2015-01
Canada,America,,6135,2015-01
United States of America,America,,32402,2015-01
"Others, Asia",Asia,,582,2015-01
Brazil,America,,370,2015-01
Argentina,America,,115,2015-01
"Others, America",America,,594,2015-01
Belgium,Europe,,422,2015-01
France,Europe,,2508,2015-01
Germany,Europe,,3943,2015-01
Italy,Europe,,1101,2015-01
Mexico,America,,156,2015-01
Thailand,Asia,Southeast Asia,5878,2015-02
United States of America,America,,33556,2015-02
Canada,America,,6843,2015-02
"Others, Asia",Asia,,710,2015-02
"Others, Southeast Asia",Asia,Southeast Asia,888,2015-02
Vietnam,Asia,Southeast Asia,8957,2015-02
Philippines,Asia,Southeast Asia,7945,2015-02
Mainland China,Asia,,406239,2015-02
Singapore,Asia,Southeast Asia,16558,2015-02
Malaysia,Asia,Southeast Asia,27877,2015-02
Middle East,Asia,,1081,2015-02
India,Asia,,1903,2015-02
"Korea,Republic of",Asia,,57692,2015-02
Japan,Asia,,104194,2015-02
Mexico,America,,208,2015-02
HongKong. Macao,Asia,,97216,2015-02
Indonesia,Asia,Southeast Asia,12659,2015-02
Brazil,America,,284,2015-02
Spain,Europe,,551,2015-02
"Others, America",America,,810,2015-02
"Others, Oceania",Oceania,,89,2015-02
"Others, Europe",Europe,,2681,2015-02
Unstated,,,211,2015-02
"Others, Africa",Africa,,327,2015-02
S. Africa,Africa,,523,2015-02
Australia,Oceania,,4809,2015-02
Russian Federation,Europe,,531,2015-02
Sweden,Europe,,532,2015-02
Greece,Europe,,87,2015-02
Austria,Europe,,398,2015-02
United Kingdom,Europe,,3975,2015-02
Switzerland,Europe,,607,2015-02
Netherlands,Europe,,1225,2015-02
Italy,Europe,,888,2015-02
Germany,Europe,,3750,2015-02
France,Europe,,3064,2015-02
Belgium,Europe,,380,2015-02
Argentina,America,,72,2015-02
New Zealand,Oceania,,985,2015-02
France,Europe,,3400,2015-03
HongKong. Macao,Asia,,114473,2015-03
Argentina,America,,123,2015-03
Brazil,America,,462,2015-03
Mexico,America,,360,2015-03
United States of America,America,,43347,2015-03
Canada,America,,9253,2015-03
"Others, Asia",Asia,,1117,2015-03
"Others, Southeast Asia",Asia,Southeast Asia,1336,2015-03
Mainland China,Asia,,279703,2015-03
Thailand,Asia,Southeast Asia,13114,2015-03
Philippines,Asia,Southeast Asia,13939,2015-03
Indonesia,Asia,Southeast Asia,17409,2015-03
Singapore,Asia,Southeast Asia,35562,2015-03
Malaysia,Asia,Southeast Asia,51464,2015-03
Middle East,Asia,,2217,2015-03
India,Asia,,3241,2015-03
"Korea,Republic of",Asia,,49733,2015-03
Japan,Asia,,167074,2015-03
"Others, America",America,,820,2015-03
Belgium,Europe,,629,2015-03
Vietnam,Asia,Southeast Asia,18379,2015-03
Germany,Europe,,6942,2015-03
Unstated,,,305,2015-03
"Others, Africa",Africa,,500,2015-03
S. Africa,Africa,,519,2015-03
"Others, Oceania",Oceania,,184,2015-03
Australia,Oceania,,6941,2015-03
"Others, Europe",Europe,,3871,2015-03
Russian Federation,Europe,,909,2015-03
New Zealand,Oceania,,1047,2015-03
Greece,Europe,,141,2015-03
Austria,Europe,,566,2015-03
United Kingdom,Europe,,6117,2015-03
Spain,Europe,,950,2015-03
Switzerland,Europe,,988,2015-03
Netherlands,Europe,,1904,2015-03
Italy,Europe,,1748,2015-03
Sweden,Europe,,805,2015-03
Germany,Europe,,4558,2015-04
France,Europe,,3936,2015-04
Belgium,Europe,,713,2015-04
Mexico,America,,365,2015-04
Argentina,America,,120,2015-04
Brazil,America,,532,2015-04
Italy,Europe,,1400,2015-04
"Others, America",America,,768,2015-04
Netherlands,Europe,,1584,2015-04
Greece,Europe,,143,2015-04
S. Africa,Africa,,465,2015-04
"Others, Oceania",Oceania,,159,2015-04
New Zealand,Oceania,,1226,2015-04
Australia,Oceania,,9069,2015-04
"Others, Europe",Europe,,3670,2015-04
Russian Federation,Europe,,671,2015-04
Sweden,Europe,,781,2015-04
Austria,Europe,,586,2015-04
United Kingdom,Europe,,7665,2015-04
"Others, Africa",Africa,,539,2015-04
United States of America,America,,43042,2015-04
Switzerland,Europe,,986,2015-04
"Others, Asia",Asia,,669,2015-04
Unstated,,,192,2015-04
Spain,Europe,,759,2015-04
HongKong. Macao,Asia,,145479,2015-04
Mainland China,Asia,,358798,2015-04
Canada,America,,8533,2015-04
"Korea,Republic of",Asia,,49826,2015-04
India,Asia,,2788,2015-04
Japan,Asia,,111026,2015-04
Malaysia,Asia,Southeast Asia,36651,2015-04
Singapore,Asia,Southeast Asia,32384,2015-04
Indonesia,Asia,Southeast Asia,13456,2015-04
Philippines,Asia,Southeast Asia,14054,2015-04
Thailand,Asia,Southeast Asia,13699,2015-04
Vietnam,Asia,Southeast Asia,13365,2015-04
"Others, Southeast Asia",Asia,Southeast Asia,1312,2015-04
Middle East,Asia,,2042,2015-04
S. Africa,Africa,,297,2015-05
Russian Federation,Europe,,724,2015-05
Australia,Oceania,,4809,2015-05
New Zealand,Oceania,,887,2015-05
"Others, Oceania",Oceania,,116,2015-05
"Others, Europe",Europe,,2971,2015-05
"Others, Africa",Africa,,492,2015-05
Greece,Europe,,94,2015-05
Unstated,,,119,2015-05
HongKong. Macao,Asia,,124758,2015-05
Mainland China,Asia,,372766,2015-05
Japan,Asia,,124464,2015-05
"Korea,Republic of",Asia,,54583,2015-05
India,Asia,,2997,2015-05
Middle East,Asia,,1563,2015-05
Malaysia,Asia,Southeast Asia,30873,2015-05
Singapore,Asia,Southeast Asia,30986,2015-05
Indonesia,Asia,Southeast Asia,12161,2015-05
Philippines,Asia,Southeast Asia,13100,2015-05
Thailand,Asia,Southeast Asia,9874,2015-05
Vietnam,Asia,Southeast Asia,12095,2015-05
"Others, Southeast Asia",Asia,Southeast Asia,1013,2015-05
"Others, Asia",Asia,,710,2015-05
Canada,America,,7111,2015-05
United States of America,America,,39335,2015-05
Mexico,America,,242,2015-05
Brazil,America,,264,2015-05
"Others, America",America,,786,2015-05
Belgium,Europe,,379,2015-05
France,Europe,,2716,2015-05
Germany,Europe,,3909,2015-05
Italy,Europe,,1315,2015-05
Netherlands,Europe,,1238,2015-05
Switzerland,Europe,,673,2015-05
Spain,Europe,,614,2015-05
United Kingdom,Europe,,4216,2015-05
Austria,Europe,,459,2015-05
Sweden,Europe,,577,2015-05
Argentina,America,,94,2015-05
"Others, Southeast Asia",Asia,Southeast Asia,976,2015-06
"Korea,Republic of",Asia,,36696,2015-06
"Others, America",America,,751,2015-06
Argentina,America,,85,2015-06
Brazil,America,,408,2015-06
Mexico,America,,248,2015-06
United States of America,America,,43408,2015-06
Canada,America,,5914,2015-06
"Others, Asia",Asia,,621,2015-06
Belgium,Europe,,411,2015-06
Vietnam,Asia,Southeast Asia,12840,2015-06
Philippines,Asia,Southeast Asia,11779,2015-06
Indonesia,Asia,Southeast Asia,15516,2015-06
Singapore,Asia,Southeast Asia,33712,2015-06
Malaysia,Asia,Southeast Asia,29873,2015-06
HongKong. Macao,Asia,,139920,2015-06
Mainland China,Asia,,308087,2015-06
Japan,Asia,,118156,2015-06
Thailand,Asia,Southeast Asia,8912,2015-06
Middle East,Asia,,1657,2015-06
France,Europe,,2865,2015-06
Italy,Europe,,1239,2015-06
Unstated,,,352,2015-06
"Others, Africa",Africa,,451,2015-06
S. Africa,Africa,,315,2015-06
"Others, Oceania",Oceania,,154,2015-06
New Zealand,Oceania,,906,2015-06
Australia,Oceania,,5051,2015-06
"Others, Europe",Europe,,3048,2015-06
Germany,Europe,,3516,2015-06
Russian Federation,Europe,,850,2015-06
Sweden,Europe,,726,2015-06
Greece,Europe,,127,2015-06
Austria,Europe,,355,2015-06
United Kingdom,Europe,,4108,2015-06
Spain,Europe,,706,2015-06
Switzerland,Europe,,615,2015-06
Netherlands,Europe,,1441,2015-06
India,Asia,,3352,2015-06
S. Africa,Africa,,395,2015-07
Unstated,,,179,2015-07
New Zealand,Oceania,,881,2015-07
HongKong. Macao,Asia,,142515,2015-07
Belgium,Europe,,585,2015-07
France,Europe,,3489,2015-07
Germany,Europe,,3660,2015-07
Italy,Europe,,1195,2015-07
Netherlands,Europe,,1594,2015-07
Switzerland,Europe,,801,2015-07
"Others, America",America,,727,2015-07
Spain,Europe,,778,2015-07
Austria,Europe,,590,2015-07
Greece,Europe,,146,2015-07
Sweden,Europe,,562,2015-07
Russian Federation,Europe,,596,2015-07
"Others, Europe",Europe,,3034,2015-07
Australia,Oceania,,4600,2015-07
United Kingdom,Europe,,4629,2015-07
Argentina,America,,76,2015-07
Brazil,America,,251,2015-07
Mexico,America,,299,2015-07
Mainland China,Asia,,352625,2015-07
Japan,Asia,,113133,2015-07
"Korea,Republic of",Asia,,45349,2015-07
India,Asia,,2247,2015-07
Middle East,Asia,,1231,2015-07
Malaysia,Asia,Southeast Asia,23813,2015-07
Singapore,Asia,Southeast Asia,21679,2015-07
Indonesia,Asia,Southeast Asia,20922,2015-07
Philippines,Asia,Southeast Asia,10807,2015-07
Thailand,Asia,Southeast Asia,8645,2015-07
Vietnam,Asia,Southeast Asia,12936,2015-07
"Others, Southeast Asia",Asia,Southeast Asia,951,2015-07
"Others, Asia",Asia,,581,2015-07
Canada,America,,6913,2015-07
United States of America,America,,39315,2015-07
"Others, Oceania",Oceania,,135,2015-07
"Others, Africa",Africa,,375,2015-07
"Others, Africa",Africa,,434,2015-08
Brazil,America,,328,2015-08
"Others, America",America,,836,2015-08
Belgium,Europe,,436,2015-08
France,Europe,,3220,2015-08
Germany,Europe,,4222,2015-08
Italy,Europe,,1152,2015-08
Switzerland,Europe,,643,2015-08
Spain,Europe,,909,2015-08
United Kingdom,Europe,,4793,2015-08
Austria,Europe,,575,2015-08
Greece,Europe,,124,2015-08
Sweden,Europe,,480,2015-08
Russian Federation,Europe,,586,2015-08
"Others, Europe",Europe,,3000,2015-08
Australia,Oceania,,4296,2015-08
New Zealand,Oceania,,856,2015-08
"Others, Oceania",Oceania,,176,2015-08
S. Africa,Africa,,590,2015-08
Argentina,America,,57,2015-08
Mexico,America,,287,2015-08
Netherlands,Europe,,1477,2015-08
Canada,America,,6694,2015-08
Unstated,,,109,2015-08
United States of America,America,,35242,2015-08
Mainland China,Asia,,367736,2015-08
Japan,Asia,,143540,2015-08
"Korea,Republic of",Asia,,54320,2015-08
India,Asia,,3022,2015-08
Middle East,Asia,,1467,2015-08
Malaysia,Asia,Southeast Asia,22249,2015-08
HongKong. Macao,Asia,,160829,2015-08
Indonesia,Asia,Southeast Asia,13734,2015-08
Philippines,Asia,Southeast Asia,10814,2015-08
Thailand,Asia,Southeast Asia,8117,2015-08
Vietnam,Asia,Southeast Asia,12886,2015-08
"Others, Southeast Asia",Asia,Southeast Asia,901,2015-08
"Others, Asia",Asia,,835,2015-08
Singapore,Asia,Southeast Asia,22286,2015-08
Argentina,America,,82,2015-09
Brazil,America,,220,2015-09
Mexico,America,,189,2015-09
United States of America,America,,32151,2015-09
Canada,America,,5438,2015-09
"Others, Asia",Asia,,1238,2015-09
"Others, Southeast Asia",Asia,Southeast Asia,1155,2015-09
