Residence,Region,Sub-Region,Total,Period
Thailand,Asia,Southeast Asia,9052,2011-06
Indonesia,Asia,Southeast Asia,14082,2011-06
Singapore,Asia,Southeast Asia,25590,2011-06
Malaysia,Asia,Southeast Asia,21177,2011-06
Middle East,Asia,,1291,2011-06
India,Asia,,1965,2011-06
"Korea,Republic of",Asia,,20161,2011-06
Japan,Asia,,91089,2011-06
Mainland China,Asia,,114435,2011-06
Unstated,,,3711,2011-06
Brazil,America,,275,2011-06
Argentina,America,,52,2011-06
Philippines,Asia,Southeast Asia,9940,2011-06
Belgium,Europe,,349,2011-06
S. Africa,Africa,,287,2011-06
"Others, America",America,,558,2011-06
"Others, Oceania",Oceania,,93,2011-06
New Zealand,Oceania,,670,2011-06
Australia,Oceania,,4047,2011-06
Russian Federation,Europe,,593,2011-06
Sweden,Europe,,565,2011-06
Greece,Europe,,93,2011-06
"Others, Europe",Europe,,2367,2011-06
United Kingdom,Europe,,3140,2011-06
Spain,Europe,,459,2011-06
Switzerland,Europe,,483,2011-06
Netherlands,Europe,,953,2011-06
Italy,Europe,,951,2011-06
France,Europe,,2065,2011-06
Austria,Europe,,345,2011-06
Italy,Europe,,1023,2011-07
Greece,Europe,,98,2011-07
Netherlands,Europe,,1358,2011-07
Switzerland,Europe,,617,2011-07
Spain,Europe,,536,2011-07
United Kingdom,Europe,,3513,2011-07
Austria,Europe,,639,2011-07
Sweden,Europe,,454,2011-07
"Others, Africa",Africa,,387,2011-07
"Others, Europe",Europe,,2529,2011-07
Australia,Oceania,,4492,2011-07
New Zealand,Oceania,,727,2011-07
"Others, Oceania",Oceania,,109,2011-07
S. Africa,Africa,,382,2011-07
Unstated,,,2442,2011-07
Germany,Europe,,3383,2011-07
Russian Federation,Europe,,491,2011-07
France,Europe,,2601,2011-07
Japan,Asia,,94009,2011-07
"Others, America",America,,647,2011-07
HongKong. Macao,Asia,,73782,2011-07
Mainland China,Asia,,135968,2011-07
"Korea,Republic of",Asia,,17752,2011-07
India,Asia,,1961,2011-07
Middle East,Asia,,1054,2011-07
Malaysia,Asia,Southeast Asia,15521,2011-07
Singapore,Asia,Southeast Asia,18009,2011-07
Indonesia,Asia,Southeast Asia,12225,2011-07
Philippines,Asia,Southeast Asia,8008,2011-07
Thailand,Asia,Southeast Asia,7734,2011-07
"Others, Southeast Asia",Asia,Southeast Asia,9480,2011-07
"Others, Asia",Asia,,839,2011-07
Canada,America,,5761,2011-07
United States of America,America,,36029,2011-07
Mexico,America,,249,2011-07
Brazil,America,,358,2011-07
Argentina,America,,64,2011-07
Belgium,Europe,,425,2011-07
"Others, Africa",Africa,,395,2011-08
Unstated,,,3497,2011-08
S. Africa,Africa,,481,2011-08
Mexico,America,,180,2011-08
United States of America,America,,31092,2011-08
Canada,America,,4797,2011-08
"Others, Asia",Asia,,803,2011-08
"Others, Southeast Asia",Asia,Southeast Asia,9387,2011-08
Thailand,Asia,Southeast Asia,7969,2011-08
Indonesia,Asia,Southeast Asia,17222,2011-08
Singapore,Asia,Southeast Asia,17046,2011-08
Malaysia,Asia,Southeast Asia,22877,2011-08
Middle East,Asia,,977,2011-08
India,Asia,,1918,2011-08
"Korea,Republic of",Asia,,21348,2011-08
Japan,Asia,,117750,2011-08
Mainland China,Asia,,138673,2011-08
HongKong. Macao,Asia,,81056,2011-08
Brazil,America,,271,2011-08
Argentina,America,,59,2011-08
Philippines,Asia,Southeast Asia,7963,2011-08
Belgium,Europe,,301,2011-08
"Others, America",America,,980,2011-08
"Others, Oceania",Oceania,,130,2011-08
New Zealand,Oceania,,576,2011-08
Australia,Oceania,,3383,2011-08
"Others, Europe",Europe,,2345,2011-08
Sweden,Europe,,446,2011-08
Greece,Europe,,65,2011-08
Austria,Europe,,521,2011-08
Russian Federation,Europe,,432,2011-08
Spain,Europe,,482,2011-08
Switzerland,Europe,,457,2011-08
Netherlands,Europe,,1216,2011-08
Italy,Europe,,822,2011-08
Germany,Europe,,3341,2011-08
France,Europe,,2334,2011-08
United Kingdom,Europe,,3306,2011-08
"Others, America",America,,768,2011-09
Switzerland,Europe,,462,2011-09
Belgium,Europe,,341,2011-09
France,Europe,,2142,2011-09
Germany,Europe,,3250,2011-09
Italy,Europe,,859,2011-09
Netherlands,Europe,,1082,2011-09
Spain,Europe,,526,2011-09
New Zealand,Oceania,,763,2011-09
Austria,Europe,,434,2011-09
Greece,Europe,,101,2011-09
Sweden,Europe,,521,2011-09
Russian Federation,Europe,,503,2011-09
"Others, Europe",Europe,,2276,2011-09
Australia,Oceania,,4688,2011-09
Argentina,America,,63,2011-09
United Kingdom,Europe,,2993,2011-09
S. Africa,Africa,,297,2011-09
"Others, Africa",Africa,,408,2011-09
Mexico,America,,132,2011-09
"Others, Oceania",Oceania,,95,2011-09
Mainland China,Asia,,122574,2011-09
Japan,Asia,,122908,2011-09
"Korea,Republic of",Asia,,17996,2011-09
India,Asia,,2091,2011-09
Middle East,Asia,,1129,2011-09
Unstated,,,3420,2011-09
Brazil,America,,233,2011-09
Malaysia,Asia,Southeast Asia,21432,2011-09
Indonesia,Asia,Southeast Asia,14126,2011-09
Philippines,Asia,Southeast Asia,7665,2011-09
Thailand,Asia,Southeast Asia,7776,2011-09
"Others, Southeast Asia",Asia,Southeast Asia,8754,2011-09
"Others, Asia",Asia,,1305,2011-09
Canada,America,,4100,2011-09
United States of America,America,,27735,2011-09
Singapore,Asia,Southeast Asia,19338,2011-09
HongKong. Macao,Asia,,55708,2011-09
Unstated,,,3581,2011-10
S. Africa,Africa,,347,2011-10
United States of America,America,,37699,2011-10
Canada,America,,6721,2011-10
"Others, Asia",Asia,,1110,2011-10
"Others, Southeast Asia",Asia,Southeast Asia,8824,2011-10
Thailand,Asia,Southeast Asia,8921,2011-10
Philippines,Asia,Southeast Asia,9972,2011-10
Singapore,Asia,Southeast Asia,25132,2011-10
Malaysia,Asia,Southeast Asia,25256,2011-10
Middle East,Asia,,1251,2011-10
India,Asia,,1961,2011-10
"Korea,Republic of",Asia,,17859,2011-10
Japan,Asia,,112450,2011-10
Mainland China,Asia,,163290,2011-10
HongKong. Macao,Asia,,61633,2011-10
"Others, Africa",Africa,,534,2011-10
Mexico,America,,193,2011-10
Brazil,America,,431,2011-10
Indonesia,Asia,Southeast Asia,14702,2011-10
"Others, America",America,,714,2011-10
"Others, Oceania",Oceania,,103,2011-10
Argentina,America,,89,2011-10
New Zealand,Oceania,,752,2011-10
Australia,Oceania,,5502,2011-10
"Others, Europe",Europe,,2952,2011-10
Russian Federation,Europe,,578,2011-10
Greece,Europe,,88,2011-10
Austria,Europe,,631,2011-10
Sweden,Europe,,778,2011-10
Spain,Europe,,686,2011-10
Switzerland,Europe,,714,2011-10
Netherlands,Europe,,1507,2011-10
Italy,Europe,,1260,2011-10
Germany,Europe,,4804,2011-10
France,Europe,,3083,2011-10
Belgium,Europe,,442,2011-10
United Kingdom,Europe,,3880,2011-10
Mexico,America,,126,2011-11
Philippines,Asia,Southeast Asia,7842,2011-11
United States of America,America,,35468,2011-11
Canada,America,,6780,2011-11
"Others, Asia",Asia,,1134,2011-11
"Others, Southeast Asia",Asia,Southeast Asia,7223,2011-11
Thailand,Asia,Southeast Asia,6919,2011-11
Indonesia,Asia,Southeast Asia,12784,2011-11
HongKong. Macao,Asia,,65389,2011-11
Malaysia,Asia,Southeast Asia,38406,2011-11
Middle East,Asia,,1181,2011-11
India,Asia,,2083,2011-11
"Korea,Republic of",Asia,,20878,2011-11
Japan,Asia,,130538,2011-11
Mainland China,Asia,,213144,2011-11
Brazil,America,,310,2011-11
Singapore,Asia,Southeast Asia,38295,2011-11
Argentina,America,,91,2011-11
S. Africa,Africa,,342,2011-11
Belgium,Europe,,402,2011-11
"Others, Africa",Africa,,337,2011-11
"Others, Oceania",Oceania,,83,2011-11
New Zealand,Oceania,,891,2011-11
Australia,Oceania,,5328,2011-11
"Others, Europe",Europe,,2870,2011-11
Russian Federation,Europe,,582,2011-11
Sweden,Europe,,646,2011-11
"Others, America",America,,482,2011-11
Greece,Europe,,150,2011-11
United Kingdom,Europe,,4269,2011-11
Spain,Europe,,621,2011-11
Switzerland,Europe,,771,2011-11
Netherlands,Europe,,1439,2011-11
Italy,Europe,,1335,2011-11
Germany,Europe,,4750,2011-11
France,Europe,,2721,2011-11
Austria,Europe,,602,2011-11
Unstated,,,2131,2011-11
Unstated,,,2787,2011-12
S. Africa,Africa,,483,2011-12
United States of America,America,,40993,2011-12
Canada,America,,7402,2011-12
